sort,expMetricId,MetricTab,MetricGroup,MetricName,VivaceName,ControlPopulation,ControlAverage,ControlStandardDeviation,TreatmentPopulation,TreatmentAverage,TreatmentStandardDeviation,AbsoluteObservedDelta,RelativeObservedDelta,AbsoluteMimimumDetectableAt80Power,RelativeMinimumDetectableAt80Power,ImpactOnTreatmentPopulation,ImpactType,pValue
0,ScorecardId,Metadata,,ScorecardId,ScorecardId,,,,,,,,,null,null,0,Unknown,
654,ScorecardId,Metadata,,ScorecardId,ScorecardId,,,,,,,,,null,null,0,Unknown,
1,SampleRatio,Metadata,,Sample Ratio,SampleRatio,1196849,1,0,1202544,1,0,,,0,0,0,Unknown,
4,SegmentRatio,Metadata,,Segment Relative Size,SegmentRatio,,,,,,,,,null,null,0,Unknown,
7,AvgSum_Revenue,Revenue,Revenue Distribution (in USD),Average Over All Users,AvgSum_Revenue,134369,0.22888863,3.99812327,134920,0.26841923,5.1276681,0.0395306,0.1727067,0.0496317,0.21683776,5333.46858,Actual Detected,0.02565528
8,AvgSum_Revenue_Capped,Revenue,Revenue Distribution (in USD),Average Over All Users (Capped),AvgSum_Revenue_Capped,134369,0.22888863,3.99812327,134920,0.26841923,5.1276681,0.0395306,0.1727067,0.0496317,0.21683776,5333.46858,Actual Detected,0.02565528
9,Proportion_Revenue_UsersWithPaidAcquisitions,Revenue,Revenue Distribution (in USD),% of Users w/ Paid Acquisitions,Proportion_Revenue_UsersWithPaidAcquisitions,134369,0.00939205,0.09645676,134920,0.00974652,0.09824252,0.00035447,0.03774142,0.00105116,0.1119205,141.822858,Observable but not Detected,0.34479235
10,AvgSum_Revenue_UsersWithPaidAcquisitions,Revenue,Revenue Distribution (in USD),Average Over Users w/ Paid Acquisitions,AvgSum_Revenue_UsersWithPaidAcquisitions,1262,24.3704728,33.3841187,1315,27.5400174,44.1370694,3.16954461,0.13005675,4.30802543,0.17677234,4167.95116,Actual Detected,0.03938844
11,AvgSum_Revenue_UsersWithPaidAcquisitions_Capped,Revenue,Revenue Distribution (in USD),Average Over Users w/ Paid Acquisitions (Capped),AvgSum_Revenue_UsersWithPaidAcquisitions_Capped,1262,24.3704728,33.3841187,1315,27.5400174,44.1370694,3.16954461,0.13005675,4.30802543,0.17677234,4167.95116,Actual Detected,0.03938844
13,AvgRevenue_ProductType_App_New,Revenue,Revenue By ProductTypes,-- App,AvgRevenue_ProductType_App_New,134369,0.01622603,0.72840605,134920,0.01687641,0.72265379,0.00065038,0.04008259,0.00783407,0.48280917,1056.97333,Observable but not Detected,0.81608285
14,AvgRevenue_ProductType_EssentialApps_New,Revenue,Revenue By ProductTypes,-- EssentialApps,AvgRevenue_ProductType_EssentialApps_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
